RAW_X,RAW_Y,TRUE_X,TRUE_Y
-177.91495454818048,-288.95401164373476,0.0,0.0
-177.23533485310008,-288.6973494600765,0.0,0.0
-172.36780328187822,-287.97810260543696,0.0,0.0
-176.64229242187102,-288.7116187274559,0.0,0.0
-176.86390145095206,-288.6308201202398,0.0,0.0
-174.8453215267196,-288.2273086359384,0.0,0.0
-176.52841383078095,-288.2804374431164,0.0,0.0
-175.54218068684773,-288.4143904009238,0.0,0.0
-175.06487199029007,-287.7864341386195,0.0,0.0
-176.4419931499599,-288.7971912616578,0.0,0.0
-174.25954856662406,-288.10566791439646,0.0,0.0
-177.1295614994839,-289.0717151691968,0.0,0.0
-174.71917416765152,-288.35369504434027,0.0,0.0
-174.4858842373202,-288.6565419316899,0.0,0.0
-174.19716140687422,-288.1010582137645,0.0,0.0
-173.9306118584573,-288.1979319160182,0.0,0.0
-179.9316156741582,-289.4397696005854,0.0,0.0
-174.11439142868204,-288.5516693904279,0.0,0.0
-179.32960238609687,-289.10339902567694,0.0,0.0
-173.39782720171573,-288.08281109281967,0.0,0.0
-176.28526382141834,-288.9482268095301,0.0,0.0
-175.41909821446222,-288.5937692371456,0.0,0.0
-176.6447389186381,-288.6899123438666,0.0,0.0
-174.95882424153103,-288.26182987698763,0.0,0.0
-173.76902368139042,-287.708000951963,0.0,0.0
-176.86049908267685,-288.6448628692452,0.0,0.0
-176.8638518745744,-288.9874546265185,0.0,0.0
-178.54730338901584,-289.65990328731436,0.0,0.0
-174.95250908955023,-288.9330155712895,0.0,0.0
-176.2475417484826,-288.32206056107924,0.0,0.0
-175.04489837038278,-288.18577990240664,0.0,0.0
-176.2275186504327,-288.2453026904787,0.0,0.0
-177.07248378220578,-288.3542940563481,0.0,0.0
-171.8554893400508,-287.54917105526977,0.0,0.0
-174.8903338745914,-288.6794839197011,0.0,0.0
-174.37491339015378,-288.68208995311807,0.0,0.0
-172.55462910639284,-288.723790130933,0.0,0.0
-175.99712083080456,-288.3685538153462,0.0,0.0
-176.15505174192617,-288.72128451907577,0.0,0.0
-175.7615162876285,-288.46343812558365,0.0,0.0
